à-pà,271,壓霸
a̍h/ia̍h,429,曷
ài,270,愛
āinn,404,偝
ām-kún,395,頷頸
ám,428,泔
án-ne,269,按呢
án-tsuánn,374,按怎
ân,399,絚
ang,275,尪
ang,275,翁
āu-ji̍t/āu--ji̍t,284,後日
āu-piah,277,後壁
àu,393,漚
àu,429,漚
bā,405,峇
bái,432,䆀
ba̍k-nī,431,茉莉
ba̍k-sái,432,目屎
ba̍k,279,目
bân-phuê,283,蠻皮
báng,281,蠓
bat/pat,294,捌
bē-tàng/buē-tàng,431,袂當
bē/buē,376,袂
beh,318,欲
bî,367,眯
bī,434,沬
bih,375,覕
bîn-á-tsài,317,明仔載
bô-tshái,292,無彩
bóng,342,罔
bóo,282,某
bú,343,舞
bué,291,尾
ē,293,會
ê,294,的
ē,416,下
e̍h,426,狹
gāi-gio̍h,383,礙虐
gāng,389,愣
gâu,398,𠢕
giâ,292,夯
gia̍h,373,攑
gia̍p,335,挾
giap,396,鋏
gín-á-kiánn,267,囡仔囝
gōng,344,戇
guán/gún,300,阮
hâ,374,縖
hām-bîn,306,陷眠
hàm,401,譀
hāu-senn,310,後生
háu,309,吼
he,308,彼
hē,344,下
hia--ê,310,遐的
hia,309,遐
hiam,445,薟
hiān-sì,346,現世
hiàn-tshut,315,現出
hiān,312,現
hiânn,312,燃
hiau-pia/hia-pai,423,囂俳
hiông-hiông,316,雄雄
hip,323,翕
hit,322,彼
hō-ka-tsài,324,好佳哉
hó-sè,332,好勢
hònn,345,好
hôo-sîn,328,胡蠅
hōo,327,予
hú,377,拊
huah,347,喝
huān-sè,394,凡勢
huat-tōo,329,法度
huî-á,337,瓷仔
hūn,339,份
iā,347,也
ian-tâu,335,緣投
iau,265,枵
iáu,314,猶
in,268,𪜶
ioh,269,臆
iú-hàu,371,有孝
jia,371,遮
jua̍h,266,熱
ka-lún-sún,424,交懍恂
ká-ná,365,敢若
ka-tī,272,家己
kā,270,共
ka,317,加
kah-ì,272,佮意
kah,271,佮
kah,318,蓋
kah,408,甲
kái,274,改
kan-na,424,干焦
kang,273,工
kāng/kâng,367,仝
ke-pô,425,家婆
ke-si,425,家私
kê,436,膎
kha-thâu-u,447,跤頭趺
kha-tshng,408,尻川
kha,368,跤
khà,435,敲
khah-thîng(-á),319,較停仔
khah,320,較
khang,276,空
khau,394,薅
khau,406,剾
khí-thok(-á),438,齒戳（仔）
khiā,280,徛
khian,427,掔
khiàng,430,勥
khiau,530,曲
khi̍t,433,杙
khiú,402,搝
khǹg,278,囥
khòng,281,炕
khong,401,悾
khû,403,跍
khuán,279,款
khuànn-māi,282,看覓
khùn,283,睏
ki,284,枝
kiàn-nā,287,見若
kik,381,激
kiu,410,勼
kiù,414,糾
koh,298,閣
koo-put-jî-tsiong,313,姑不而將
koo-tsiânn,407,姑情
kóo-tsui,293,古錐
kóo,532,鈷
ku,403,跔
kuàn-sì,288,慣勢
kuann,320,乾
kui-khì,409,規氣
kuí-nā,323,幾若
kui,289,規
kut-la̍t,426,骨力
lâ-giâ,537,蟧蜈
lak,324,落
lak,388,橐
lám-nuā,390,荏懶
lán,325,咱
lâng-sn̂g,326,籠床
lâng,325,人
lāu-huè-á,285,老歲仔
leh,327,咧
lia̍h,329,掠
liâm-mi,330,連鞭
lia̍p-á,285,粒仔
lim,331,啉
lín,332,恁
līng,333,冗
ling,370,奶
liōng-siōng,383,冗剩
liú-la̍k,398,扭搦
liú,362,鈕
liū,430,餾
lok-tshuì,387,漉喙
lok,388,橐
lóng,334,攏
lòng,433,挵
lóo-la̍t,363,勞力
lù,391,鑢
lu,392,攄
m̄,336,毋
mā,336,嘛
mài,376,莫
mê/mî,337,暝
nā,365,若
ńg,453,䘼
nge̍h,395,挾
ngeh,396,夾
ngiau,399,擽
ni,338,拈
niáu-tshí,286,鳥鼠
nǹg,467,軁
nuā,410,瀾
o-ló,340,呵咾
ô,448,蚵
oh,443,僫
óo/ué,372,挖
pē,290,爸
pha,300,葩
phah-eh,439,拍呃
phah,295,拍
pháinn-sè,299,歹勢
pháinn,297,歹
phāinn,406,揹
phang,295,芳
phâng,378,捀
phànn,427,冇
phiann,446,抨
phín-á,389,𥰔仔
phōng-kó,340,蘋果
phòng,308,膨
phóng,441,捧
phôo,321,扶
phòo,363,舖
phú,434,殕
phuì,322,呸
phun,414,潘
piak,437,煏
piànn,296,摒
pîn-tuānn,350,貧惰
píng,296,反
pîng,299,爿
pōng-bí-phang,438,磅米芳
pōng-khang,333,磅空
pōng,331,磅
puânn-nuá,390,盤撋
puânn,442,盤
pué/pé/pér,428,掰
pùn-sò,366,糞埽
sa,436,捎
sa̍h,379,煠
sak,373,捒
sàn-tshiah,346,散赤
sau-siann,413,梢聲
sè,302,細
se̍h,351,踅
senn,440,生
sì-kè,359,四界
sì-siù(-á),498,四秀（仔）
sī-tuā,386,序大
siān,400,𤺪
sian,439,鉎
siánn-mih,441,啥物
siánn,351,啥
siàu-liām,349,數念
siàu-siūnn,349,數想
siàu,350,數
siáu,378,痟
sih-nah,397,爍爁
si̍k-sāi,356,熟似
sin-khu,496,身軀
sin-pū,354,新婦
sîn,497,承
sió-khuá(-á),303,小可(仔)
sio-tsioh-mn̄g,437,相借問
sio̍h,442,液
siōng,369,上
sit-tsì,499,失志
siū-khì,452,受氣
siū,500,岫
siunn,314,傷
