期數,詞目,音讀
265,頭路,thâu-lōo
265,枵,iau
266,熱,jua̍h
266,刁工,thiau-kang
267,囡仔囝,gín-á-kiánn
267,討債,thó-tsè
268,佇,tī
268,𪜶,in
269,按呢,án-ne
269,臆,ioh
270,愛,ài
270,共,kā
271,壓霸,à-pà
271,佮,kah
272,佮意,kah-ì
272,家己,ka-tī
273,埕,tiânn
273,工,kang
274,定定,tiānn-tiānn
274,改,kái
275,尪,ang
275,翁,ang
276,定定,tiānn-tiānn
276,空,khang
277,後壁,āu-piah
277,顛倒,tian-tò
278,囥,khǹg
278,陣,tīn
279,目,ba̍k
279,款,khuán
280,鎮位,tìn-uī
280,徛,khiā
281,蠓,báng
281,炕,khòng
282,看覓,khuànn-māi
282,某,bóo
283,睏,khùn
283,蠻皮,bân-phuê
284,枝,ki
284,後日,āu-ji̍t/āu--ji̍t
285,老歲仔,lāu-huè-á
285,粒仔,lia̍p-á
286,鳥鼠,niáu-tshí
286,智識,tì-sik
287,見若,kiàn-nā
287,遮,tsia/tsiâ
288,慣勢,kuàn-sì
288,張持,tiunn-tî
289,規,kui
289,頂,tíng
290,爸,pē
290,閘,tsa̍h
291,這,tse/tsit
291,尾,bué
292,無彩,bô-tshái
292,夯,giâ
293,會,ē
293,古錐,kóo-tsui
294,捌,bat/pat
294,的,ê
295,拍,phah
295,芳,phang
296,摒,piànn
296,反,píng
297,歹,pháinn
297,這,tsit
298,紮,tsah
298,閣,koh
299,爿,pîng
299,歹勢,pháinn-sè
300,阮,guán/gún
300,葩,pha
301,站節,tsām-tsat
301,知,tsai
302,鑿目,tsha̍k-ba̍k
302,細,sè
303,小可(仔),sió-khuá(-á)
303,查某,tsa-bóo
304,通,thang
304,凊彩,tshìn-tshái
305,濟,tsē
305,誠,tsiânn
306,陷眠,hām-bîn
306,成,tsiânn
307,拄,tú
307,厝,tshù
308,膨,phòng
308,彼,he
309,吼,háu
309,遐,hia
310,後生,hāu-senn
310,遐的,hia--ê
311,喙,tshuì
311,照起工,tsiàu-khí-kang
312,燃,hiânn
312,現,hiān
313,媠,suí
313,姑不而將,koo-put-jî-tsiong
314,傷,siunn
314,猶,iáu
315,代誌,tāi-tsì
315,現出,hiàn-tshut
316,雄雄,hiông-hiông
316,鬥,tàu
317,加,ka
317,明仔載,bîn-á-tsài
318,蓋,kah
318,欲,beh
319,今,tann
319,較停仔,khah-thîng(-á)
320,乾,kuann
320,較,khah
321,青盲,tshenn-mê
321,扶,phôo
322,彼,hit
322,呸,phuì
323,幾若,kuí-nā
323,翕,hip
324,落,lak
324,好佳哉,hō-ka-tsài
325,咱,lán
325,人,lâng
326,籠床,lâng-sn̂g
326,刺,tshiah
327,咧,leh
327,予,hōo
328,煞,suah
328,胡蠅,hôo-sîn
329,掠,lia̍h
329,法度,huat-tōo
330,連鞭,liâm-mi
330,作穡,tsoh-sit
331,啉,lim
331,磅,pōng
332,好勢,hó-sè
332,恁,lín
333,磅空,pōng-khang
333,冗,līng
334,兜,tau
334,攏,lóng
335,挾,gia̍p
335,緣投,ian-tâu
336,嘛,mā
336,毋,m̄
337,瓷仔,huî-á
337,暝,mê/mî
338,陣,tsūn
338,拈,ni
339,份,hūn
339,刣,thâi
340,呵咾,o-ló
340,蘋果,phōng-kó
341,親像,tshin-tshiūnn
341,中晝,tiong-tàu
342,都,to
342,罔,bóng
343,著,tio̍h
343,舞,bú
344,下,hē
344,戇,gōng
345,逐,ta̍k
345,好,hònn
346,散赤,sàn-tshiah
346,現世,hiān-sì
347,也,iā
347,喝,huah
348,拭,tshit
348,雜唸,tsa̍p-liām
349,數念,siàu-liām
349,數想,siàu-siūnn
350,數,siàu
350,貧惰,pîn-tuānn
351,啥,siánn
351,踅,se̍h
352,遮的,tsia--ê
352,遮的,tsia-ê
353,窒,that
353,生份,tshenn-hūn
354,新婦,sin-pū
354,一寡(仔),tsi̍t-kuà(-á)
355,冤家,uan-ke
355,趁,thàn
356,頓,tǹg
356,熟似,si̍k-sāi
357,清氣,tshing-khì
357,隨,suî
358,耍,sńg
358,斡,uat
359,創治,tshòng-tī
359,四界,sì-kè
360,啄龜,tok-ku
360,盹龜,tuh-ku
361,斟,thîn
361,擲,tàn
362,鈕,liú
362,揻,ui
363,舖,phòo
